Time Series ID	Fly ID	Fly Genotype 	Age	Sex	Stimulus 	Frames (imaging)	Rotation	Z-depth	Layer 	Imaging Frame Rate (Hz)	Wavelength	Transmission (%)	Gain	Offset 	Color Filter 	ND	Dither Hold	isMoving?	isResponding?	comments
161230_fly3_LDM_016	17	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4_UAS-shi[ts]R(5)+37-1hr	6	F	300ms_searchStimFlash	5000	28	11633.72	2	80	920	8	95	72	482/18	1.3	0	0	1	cells 4-8 responding
161230_fly3_LDM_017	17	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4_UAS-shi[ts]R(5)+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	28	11633.72	2	80	920	8	95	72	482/18	1.3	0	0		
161230_fly4_LDM_018	18	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	7	F	300ms_searchStimFlash	5000	19	12007.53	2	80	920	7	90	73	482/18	1.3	0	0	1	cells 1-7 responding
161230_fly4_LDM_019	18	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	7	F	fullfield_LDflash20ms_Gray500ms	10000	19	12007.53	2	80	920	7	90	73	482/18	1.3	0	0		
161230_fly4_LDM_020	18	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	7	F	300ms_searchStimFlash	5000	25	12013.82	2	80	920	6	90	73	482/18	1.3	0	0	1	"cells 3, 4, 6 responding"
161230_fly4_LDM_021	18	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	7	F	fullfield_LDflash20ms_Gray500ms	10000	25	12013.82	2	80	920	6	90	73	482/18	1.3	0	0		
161230_fly4_LDM_022	18	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	7	F	300ms_searchStimFlash	5000	25	12020.45	2	80	920	6	90	73	482/18	1.3	0	0	1	cells 1-3 responding
161230_fly4_LDM_023	18	GMR16H03-lexA_lexAop-ASAP2f_UAS-shi[ts]R(5)+37-1hr	7	F	fullfield_LDflash20ms_Gray500ms	10000	25	12020.45	2	80	920	6	90	73	482/18	1.3	0	0		
161230_fly5_LDM_024	19	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4+37-1hr	6	F	300ms_searchStimFlash	5000	22	11643.14	2	80	920	8	95	73	482/18	1.3	0	0	1	cells 1-7 responding
161230_fly5_LDM_025	19	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	22	11643.14	2	80	920	8	95	73	482/18	1.3	0	0		
161230_fly5_LDM_026	19	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4+37-1hr	6	F	300ms_searchStimFlash	5000	22	11652.77	2	80	920	9	95	73	482/18	1.3	0	0	1	cells 1-8 responding
161230_fly5_LDM_027	19	GMR16H03-lexA_lexAop-ASAP2f_ort[C1-4]-Gal4+37-1hr	6	F	fullfield_LDflash20ms_Gray500ms	10000	22	11652.77	2	80	920	9	90	73	482/18	1.3	0	0		
